"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.435703263E1,4.382133186E-1,-2.391828746E-1,-1.200059801E-1
3.445201563E1,-2.756905854E-1,-2.948437631E-2,-3.287786543E-1
3.454698163E1,-1.876613796E-1,4.582056701E-1,-3.565190434E-1
3.463700163E1,-5.476064086E-1,2.850441635E-2,3.815552220E-2
3.473199063E1,-4.214788973E-1,-7.842302322E-2,-1.520132422E-1
3.482695463E1,-3.528211117E-1,-3.304226995E-1,-2.718270421E-1
3.492195063E1,-4.857090414E-1,-4.630235136E-1,-2.203330100E-1
3.501695863E1,-4.387115836E-1,-3.341101706E-1,-3.013777733E-1
3.511194663E1,-1.303430200E-1,-8.695533872E-1,-7.053587586E-2
3.520693663E1,-4.973495305E-1,-4.779490177E-3,-5.642336011E-1
3.530192562E1,-1.140575767E0,-9.202758223E-2,-4.057932794E-1
3.539691263E1,2.763952315E-1,-8.436409235E-1,1.493983567E-1
3.549189763E1,-2.277770489E-1,-2.557110488E-1,-8.027972281E-2
3.558689163E1,-3.504037857E-2,9.519324452E-2,-2.545952797E-1
3.568188163E1,5.093540549E-1,-3.156622946E-1,2.304373533E-1
3.577687062E1,2.064949125E-1,3.630651534E-1,3.570457399E-1
3.587185063E1,-3.826433420E-2,-9.131831676E-2,8.626190424E-1
