"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.896789386E3,3.561244354E0,1.169068909E-1,-9.034462738E0
4.896890579E3,3.634591827E0,-6.286926270E-3,-9.039851532E0
4.896991790E3,3.562591553E0,9.669891357E-2,-9.094338226E0
4.897092956E3,3.658242645E0,6.391708374E-2,-9.085805969E0
4.897194137E3,3.700454865E0,8.053253174E-2,-9.026229858E0
4.897295192E3,3.564986572E0,5.388793945E-2,-9.028774567E0
4.897396374E3,3.582350464E0,1.085243225E-1,-9.061406708E0
4.897497555E3,3.727398834E0,9.789642334E-2,-9.082812195E0
4.897598702E3,3.674708405E0,1.194515991E-1,-8.984466705E0
4.897699878E3,3.622017975E0,7.200027466E-2,-9.028175812E0
4.897801055E3,3.701502686E0,1.567240906E-1,-9.024433594E0
4.897902213E3,3.598217468E0,1.913021851E-1,-9.030121765E0
4.898003396E3,3.695066071E0,-2.140548706E-2,-9.007967834E0
4.898104579E3,3.675756226E0,1.525328064E-1,-9.056616669E0
4.898205727E3,3.760330353E0,1.704954529E-1,-9.055119781E0
4.898306943E3,3.638932800E0,2.245330811E-2,-9.063951416E0
4.898408120E3,3.682043152E0,6.780899048E-2,-9.014853516E0
4.898509299E3,3.657045135E0,3.583547974E-1,-8.989107056E0
4.898610481E3,3.700005798E0,-3.218307495E-2,-9.077273712E0
4.898711626E3,3.631897430E0,1.507365417E-1,-9.107361145E0
4.898812814E3,3.733386383E0,3.353027344E-2,-9.125473480E0
4.898914019E3,3.628005524E0,1.625619507E-1,-8.946894836E0
4.899015201E3,3.652704163E0,2.406994629E-1,-8.992699585E0
4.899116390E3,3.654350739E0,-4.116439819E-2,-9.016200714E0
4.899217568E3,3.767814789E0,2.219883728E-1,-9.068891144E0
4.899318773E3,3.771107941E0,1.435514832E-1,-8.996441803E0
4.899419958E3,3.684587860E0,1.290316772E-1,-8.990304565E0
4.899521133E3,3.735032959E0,1.297801208E-1,-9.017398224E0
4.899622292E3,3.700754242E0,2.067201233E-1,-9.003776550E0
4.899723487E3,3.753893738E0,1.305285645E-1,-9.003926239E0
4.899824624E3,3.717519379E0,1.725910950E-1,-9.028624878E0
4.899925823E3,3.756438446E0,1.588197327E-1,-9.058712311E0
4.900026994E3,3.747307434E0,2.652484131E-1,-8.977581024E0
4.900128193E3,3.767964478E0,1.026864624E-1,-9.051227875E0
4.900229383E3,3.740421753E0,1.517843628E-1,-8.911418610E0
4.900330567E3,3.797752533E0,3.652404785E-1,-8.999136200E0
4.900431737E3,3.755240936E0,1.758842468E-1,-8.981622620E0
4.900532958E3,3.711980896E0,1.619631958E-1,-8.985813904E0
4.900634164E3,3.748804321E0,2.603086853E-1,-9.022637329E0
4.900735366E3,3.798950043E0,4.608915710E-1,-9.026978302E0
4.900836541E3,3.745361481E0,1.785786438E-1,-8.995843048E0
4.900937767E3,3.689377899E0,2.354603577E-1,-9.029223633E0
4.901038975E3,3.666625214E0,2.279759216E-1,-8.994046783E0
4.901140176E3,3.759132843E0,4.453239441E-1,-9.016500092E0
4.901241357E3,3.770808563E0,2.881507874E-1,-9.003327484E0
4.901342574E3,3.684737549E0,1.986369324E-1,-8.956774292E0
4.901443764E3,3.776197357E0,3.929328918E-1,-8.970994720E0
4.901544961E3,3.808081055E0,3.679348755E-1,-9.000034332E0
4.901646156E3,3.733985138E0,3.019221497E-1,-8.993298340E0
4.901747368E3,3.650758209E0,2.885998535E-1,-9.014554138E0
4.901848569E3,3.774550781E0,3.920347595E-1,-9.028774567E0
4.901949760E3,3.697012024E0,3.167413330E-1,-8.926836548E0
4.902050939E3,3.821852417E0,3.674858093E-1,-8.995244293E0
4.902152138E3,3.797453156E0,3.240760803E-1,-9.110803986E0
4.902253320E3,3.736230469E0,2.677931213E-1,-8.886719971E0
4.902354400E3,3.757037201E0,3.471281433E-1,-8.995094604E0
4.902455606E3,3.729943542E0,3.183879089E-1,-8.967851257E0
4.902556843E3,3.762725372E0,3.534150696E-1,-9.010662231E0
4.902658042E3,3.855981445E0,3.808081055E-1,-9.009614410E0
4.902759217E3,3.741469574E0,3.417393494E-1,-8.955277405E0
4.902860426E3,3.720064087E0,3.345542908E-1,-8.961564331E0
4.902961624E3,3.773652649E0,3.712280273E-1,-8.999585266E0
4.903062822E3,3.781885529E0,3.245251465E-1,-8.903335419E0
4.903164025E3,3.800895996E0,3.975732422E-1,-9.026828613E0
4.903265194E3,3.895499268E0,2.950364685E-1,-9.019643555E0
4.903366421E3,3.683540039E0,3.674858093E-1,-8.912915497E0
4.903467620E3,3.717220001E0,3.188369751E-1,-8.919950867E0
4.903568794E3,3.737727356E0,3.827540588E-1,-9.032367096E0
4.903669996E3,3.823948059E0,3.290158081E-1,-9.031768341E0
4.903771190E3,3.807182922E0,3.312611389E-1,-8.955876160E0
4.903872359E3,3.743116150E0,2.966830444E-1,-8.953630829E0
4.903973593E3,3.731141052E0,3.146456909E-1,-8.988358612E0
4.904074782E3,3.788322144E0,3.248245239E-1,-8.997938690E0
4.904175993E3,3.774999847E0,2.552192688E-1,-8.868907013E0
4.904277207E3,3.776796112E0,3.070115662E-1,-9.004824371E0
4.904378421E3,3.837120667E0,3.161425781E-1,-9.011410675E0
4.904479628E3,3.703748016E0,3.147953796E-1,-9.034313049E0
4.904580829E3,3.833079071E0,1.565744019E-1,-8.890162811E0
4.904682038E3,3.841761017E0,3.052153015E-1,-8.918603668E0
4.904783234E3,3.622916107E0,1.746867371E-1,-9.067693634E0
4.904884413E3,3.702849884E0,1.197509766E-1,-9.053922272E0
4.904985529E3,3.732488251E0,4.447251892E-1,-9.049880676E0
4.905086708E3,3.917353821E0,1.314266968E-1,-8.990304565E0
4.905187913E3,3.924987946E0,2.519261169E-1,-8.839717712E0
4.905289110E3,3.393143921E0,1.341210938E-1,-8.924142151E0
4.905390307E3,4.562961273E0,-3.098556519E-2,-8.807534637E0
4.905491505E3,3.416495361E0,7.824229431E-1,-9.478289795E0
4.905592712E3,4.727768555E0,-2.415975952E-1,-9.405990143E0
4.905693904E3,3.890110474E0,-1.351689148E-1,-8.797505493E0
4.905795100E3,3.327430573E0,1.526824951E-1,-9.071884918E0
4.905896290E3,3.714375916E0,-4.041595459E-2,-9.131161652E0
4.905997512E3,3.711681519E0,-9.654922485E-2,-9.071136475E0
4.906098712E3,3.704795837E0,-1.299298096E-1,-9.034612427E0
4.906199895E3,3.746558990E0,-3.638932800E-1,-8.976383514E0
4.906301094E3,3.719914398E0,-1.664538574E-1,-8.876241760E0
4.906402291E3,3.695365448E0,-9.789642334E-2,-9.076525269E0
4.906503473E3,3.717968445E0,-2.885998535E-1,-9.036708069E0
4.906604661E3,3.607797546E0,-1.817221069E-1,-9.041049042E0
4.906705835E3,3.692671051E0,-1.067280579E-1,-9.020841064E0
4.906807044E3,3.628604279E0,-1.206491089E-1,-9.003327484E0
4.906908242E3,3.669469299E0,-1.553768921E-1,-9.043893127E0
4.907009432E3,3.853287048E0,-2.683918762E-1,-9.110803986E0
4.907110637E3,3.576811981E0,-4.670288086E-2,-8.967102814E0
4.907211847E3,3.533402252E0,-2.365081787E-2,-8.932524719E0
4.907312926E3,3.810027008E0,-2.423460388E-1,-9.088799744E0
4.907414134E3,3.594624939E0,-5.508544922E-2,-8.982670441E0
4.907515314E3,3.794160004E0,4.415817261E-2,-9.101523285E0
4.907616520E3,3.770958252E0,-1.172062683E-1,-8.982071686E0
