"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.168866500E1,9.713301086E-1,3.654500427E0,9.042396240E0
2.178985600E1,8.491841125E-1,3.589086456E0,9.179211731E0
2.189105400E1,6.143225098E-1,3.970942383E0,9.259145508E0
2.199224500E1,8.087681580E-1,4.236190796E0,9.091793518E0
2.209332492E1,1.405577087E0,2.827170868E0,8.765921173E0
2.219452492E1,5.662724304E-1,3.331172791E0,8.137677612E0
2.229570792E1,1.622925110E0,3.884122925E0,9.187145233E0
2.239688892E1,2.598147125E0,3.325185242E0,9.761351166E0
2.249807892E1,1.304237823E0,2.852318573E0,8.819659424E0
2.259925092E1,3.094365234E0,2.295925598E0,8.976832581E0
2.270042692E1,1.252445526E0,4.462969208E0,9.177565155E0
2.280161392E1,3.040327606E0,1.811233521E0,8.647068329E0
2.290278892E1,-3.526666260E-1,3.496279449E0,9.737251282E0
2.300396892E1,2.106419678E0,3.128943329E0,8.518036652E0
2.310513892E1,3.916455688E0,2.000739441E0,8.736881561E0
2.320630592E1,1.570234680E0,3.176843719E0,9.680219879E0
2.330748892E1,2.131417694E0,2.942131805E0,8.759484558E0
2.340866692E1,2.494562531E0,2.175725555E0,9.590256958E0
2.350983492E1,1.812580719E0,2.507286072E0,9.127120056E0
2.361100092E1,1.777703247E0,2.641706543E0,9.321116638E0
2.371220192E1,2.165247345E0,2.397713928E0,9.290879517E0
2.381337492E1,2.021246796E0,2.494861908E0,9.148226166E0
2.391454292E1,2.214195557E0,2.447111206E0,9.209897919E0
2.401569392E1,2.370769958E0,2.249222717E0,9.288783875E0
2.411689892E1,2.131866760E0,2.390528870E0,9.171278229E0
2.421808292E1,2.312091980E0,2.347418518E0,9.274413757E0
2.431925492E1,2.451302490E0,2.325114899E0,9.099876709E0
2.442041892E1,2.652184753E0,2.368075562E0,9.203311615E0
2.452159292E1,2.554288330E0,2.334694977E0,9.146878967E0
2.462279592E1,2.562521210E0,2.262245636E0,9.233548737E0
2.472399092E1,2.728825378E0,2.338437195E0,9.090446320E0
2.482515792E1,2.587818604E0,2.300865326E0,9.256900177E0
2.492637192E1,2.673141174E0,2.160307617E0,9.098529510E0
2.502754892E1,2.571801910E0,2.223027191E0,9.212292938E0
2.512873592E1,2.626438293E0,2.083517303E0,9.201964417E0
2.522990092E1,2.690355377E0,2.052831116E0,9.224268036E0
2.533109492E1,2.747536469E0,2.061962128E0,9.108259277E0
2.543229892E1,2.810555420E0,2.015558624E0,9.088500366E0
2.553347692E1,2.853516083E0,2.023492126E0,9.370364227E0
2.563463992E1,2.914140015E0,2.004331970E0,8.949439545E0
2.573584692E1,2.963537292E0,1.996847534E0,9.256002045E0
2.583703092E1,2.839145966E0,1.944905548E0,9.156908112E0
2.593822592E1,2.859803009E0,1.964963837E0,9.111103363E0
2.603940392E1,2.822380829E0,2.030377808E0,9.280700684E0
2.614057592E1,2.781066742E0,1.885179749E0,9.057963867E0
2.624176592E1,2.815944214E0,2.254012756E0,8.822952576E0
2.634293392E1,3.283571777E0,1.647024994E0,9.344019012E0
2.644410592E1,2.345173187E0,1.754800873E0,9.268575897E0
2.654528592E1,2.247875519E0,1.697320404E0,9.494605865E0
2.664645092E1,2.895578613E0,1.678010559E0,9.173523560E0
2.674760692E1,3.018922119E0,1.546733551E0,9.300609283E0
2.684879192E1,2.671793976E0,1.779499512E0,9.242530060E0
2.694995992E1,2.831661530E0,1.701362000E0,9.195677490E0
2.705097154E1,2.646197205E0,1.651515656E0,9.975555725E0
2.715212654E1,2.427801361E0,1.595681763E0,8.864416351E0
2.725330054E1,2.122286682E0,2.667453003E0,9.520052948E0
2.735446654E1,2.844534760E0,1.661395111E0,9.077423401E0
2.745554954E1,2.377655640E0,1.738035736E0,9.123677216E0
2.755671854E1,1.879042511E0,2.207459564E0,9.636510773E0
2.765788854E1,1.638941803E0,1.435065765E0,9.416318665E0
2.775904554E1,1.488654327E0,1.537602539E0,9.915680237E0
2.786023854E1,1.335522766E0,1.597777405E0,1.004695724E1
2.796140954E1,8.613088989E-1,2.088457031E0,9.992769928E0
2.806254654E1,5.010081482E-1,1.994602203E0,1.007390121E1
2.816373154E1,2.432441711E-1,2.190694427E0,1.059646454E1
2.826492254E1,-2.010319519E-1,2.324067078E0,9.955497437E0
2.836608354E1,-2.249821472E-1,2.751128998E0,8.968749390E0
2.846724954E1,-6.764433289E-1,3.319646759E0,9.006321259E0
2.856840154E1,-6.795867920E-1,3.440295868E0,9.032816162E0
2.866958854E1,-1.249002686E0,3.089126129E0,9.427096252E0
2.877075454E1,-1.087937622E0,4.314777374E0,7.802674255E0
2.887192554E1,-1.218915253E0,5.018014984E0,7.859406281E0
2.897307754E1,-1.569635925E0,5.617218933E0,7.833360443E0
2.907428754E1,-1.776805115E0,6.120921478E0,7.125781860E0
2.917546854E1,-1.974843292E0,6.285429382E0,7.306156769E0
2.927667354E1,-2.013912048E0,6.020630035E0,7.039860535E0
2.937785054E1,-4.135300598E0,6.133495331E0,8.266559601E0
2.947901254E1,-4.571044464E0,4.477189636E0,8.712033234E0
2.958017754E1,-4.406686249E0,3.280727692E0,8.554111633E0
2.968134754E1,-4.510270844E0,2.874771881E0,8.523575134E0
2.978254354E1,-3.638483734E0,2.015858002E0,9.288334808E0
2.988373654E1,-2.736758881E0,1.338067474E0,9.130413208E0
2.998491854E1,-3.105142822E0,1.215921478E0,9.620643768E0
3.008609654E1,-3.144061890E0,9.886940002E-1,9.746831360E0
3.018725654E1,-3.026705933E0,1.463656311E0,9.360035706E0
3.028845954E1,-3.017724609E0,2.164199524E0,8.968599701E0
3.038964754E1,-3.039130096E0,1.954785004E0,8.836873627E0
3.049083854E1,-1.964514771E0,1.648970947E0,8.161178741E0
